wavelength,temp 10,temp 20,temp 30,temp 40,temp 50,temp 25 (500),temp 25 (1000),reference temp 25
1.559020000E-06,-14.52193595,-12.5072802,-20.15161329,-17.34741442,-12.41807426,-15.08908244,-14.5281334,-15.08900412
1.559020000E-06,-14.51121895,-12.47513571,-20.08416186,-17.34261047,-12.40171263,-15.06430204,-14.48686461,-15.06422396
1.559020000E-06,-14.49286379,-12.42518193,-20.06636592,-17.34126822,-12.3733828,-15.02129218,-14.42271117,-15.02121452
1.559020000E-06,-14.48715713,-12.35581492,-20.04845908,-17.33650042,-12.35999559,-15.00091575,-14.33370645,-15.00083829
1.559020000E-06,-14.46367246,-12.3432705,-19.93551817,-17.33411989,-12.33573041,-14.96387934,-14.31760543,-14.96380224
1.559020000E-06,-14.45063463,-12.31979336,-19.87818038,-17.33089998,-12.31658016,-14.93457925,-14.28741758,-14.93450245
1.559020000E-06,-14.4428677,-12.27917975,-19.86470366,-17.32868772,-12.29362175,-14.89936571,-14.23514962,-14.89928927
1.559020000E-06,-14.43403101,-12.2634239,-19.78140129,-17.32643421,-12.28384425,-14.88432344,-14.21484986,-14.88424715
1.559020000E-06,-14.41419462,-12.25050562,-19.69069953,-17.32245666,-12.2429229,-14.82124877,-14.19817236,-14.82117312
1.559020000E-06,-14.37993758,-12.2364317,-19.64764818,-17.31709195,-12.23449209,-14.80822817,-14.17996541,-14.80815266
1.559020000E-06,-14.37176642,-12.21494771,-19.57799732,-17.31262813,-12.20057106,-14.75571588,-14.15212336,-14.75564092
1.559020000E-06,-14.36596242,-12.19225636,-19.56359439,-17.30740288,-12.16472462,-14.70018758,-14.12267388,-14.7001132
1.559020000E-06,-14.34904501,-12.15827602,-19.50030678,-17.29824429,-12.1094136,-14.61456904,-14.07852865,-14.61449555
1.559020000E-06,-14.34017193,-12.11617628,-19.44451793,-17.29673429,-12.09245139,-14.58829961,-14.02381699,-14.58822639
1.559020000E-06,-14.33549465,-12.09464448,-19.36456662,-17.29104051,-12.05013866,-14.52268578,-13.99581366,-14.52261325
1.559020000E-06,-14.32101794,-12.07910967,-19.33702578,-17.28558463,-11.99695526,-14.44029818,-13.97557616,-14.44022652
1.559020000E-06,-14.30208089,-12.04560425,-19.25307769,-17.27793197,-11.99017841,-14.42978684,-13.93187435,-14.42971529
1.559020000E-06,-14.29327816,-12.03586214,-19.17508047,-17.27504038,-11.98151656,-14.4162972,-13.9191494,-14.4162258
1.559020000E-06,-14.27293384,-12.02859027,-19.10468537,-17.2708378,-11.96475571,-14.39010579,-13.90962882,-14.39003466
1.559020000E-06,-14.26066792,-12.01553144,-19.07410659,-17.2666821,-11.95228935,-14.370564,-13.89249399,-14.37049308
1.559020000E-06,-14.25004323,-11.9719789,-19.0407959,-17.26451045,-11.85829265,-14.22350064,-13.83529686,-14.22343132
1.559020000E-06,-14.24488263,-11.91348834,-19.021244,-17.25319353,-11.84736546,-14.20643437,-13.75853931,-14.20636524
1.559020000E-06,-14.23992817,-11.90167386,-18.96884699,-17.246594,-11.83916184,-14.19357316,-13.74302888,-14.19350416
1.559020000E-06,-14.23377335,-11.89129793,-18.93188785,-17.24162794,-11.82984404,-14.17890839,-13.72937813,-14.17883956
1.559020000E-06,-14.22510461,-11.88199537,-18.79262452,-17.23076467,-11.81710825,-14.1587926,-13.71711259,-14.15872399
1.559020000E-06,-14.21823536,-11.85687552,-18.76129933,-17.22900255,-11.75786432,-14.06519821,-13.68393722,-14.06513065
1.559020000E-06,-14.16535306,-11.84594894,-18.74398653,-17.2239159,-11.74285174,-14.04147907,-13.66948386,-14.04141177
1.559020000E-06,-14.16388676,-11.83546569,-18.71742812,-17.22136005,-11.72216781,-14.0087131,-13.65558766,-14.00864617
1.559020000E-06,-14.16152389,-11.81988474,-18.58641691,-17.21725606,-11.7034812,-13.97904064,-13.63489436,-13.97897405
1.559020000E-06,-14.14928077,-11.76883316,-18.54299742,-17.21709241,-11.69542364,-13.96620479,-13.5670663,-13.96613836
1.559020000E-06,-14.1327898,-11.74997998,-18.50066753,-17.21196859,-11.68850695,-13.95514212,-13.54201116,-13.95507581
1.559020000E-06,-14.12795045,-11.73557205,-18.43769552,-17.20882647,-11.66893131,-13.92373235,-13.52283227,-13.92366641
1.559020000E-06,-14.11385012,-11.72576454,-18.38781499,-17.2036836,-11.62698159,-13.85637258,-13.50975145,-13.85630742
1.559020000E-06,-14.10264818,-11.70809093,-18.35448424,-17.20086331,-11.60951616,-13.82830275,-13.48613597,-13.82823793
1.559020000E-06,-14.09864366,-11.69737014,-18.33964121,-17.19481034,-11.59370421,-13.80282154,-13.47178523,-13.80275702
1.559020000E-06,-14.08161726,-11.65336104,-18.33449234,-17.19323501,-11.58018362,-13.78096816,-13.41283119,-13.78090391
1.559020000E-06,-14.07538227,-11.63947833,-18.29968726,-17.19189949,-11.55238916,-13.73594966,-13.39422251,-13.73588595
1.559020000E-06,-14.06517127,-11.62344957,-18.27088107,-17.18997709,-11.53115083,-13.70149713,-13.37270057,-13.70143383
1.559020000E-06,-14.05787127,-11.60607053,-18.16745809,-17.18746879,-11.50794106,-13.66377685,-13.34932922,-13.66371401
1.559020000E-06,-14.04578647,-11.59774135,-18.14975581,-17.1852144,-11.501304,-13.65295912,-13.33810735,-13.65289641
